Año;Grupo;Grupo de Causas de Defunción;Negrita;Total;Menores de 1;1 a 4;5 a 14;15 a 24;25 a 34;35 a 44;45 a 54;55 a 64;65 a 74;75 y mas;Sin especificar
2018;0000;TODAS LAS CAUSAS;1;336823;6048;1214;1318;5986;7028;10648;18612;39502;69263;175300;1904
2018;0001;A. TOTAL CAUSAS DEFINIDAS;1;314952;5697;1122;1265;5772;6712;10079;17518;37194;64999;162802;1792
2018;0100;1. Enfermedades infecciosas y parasitarias;1;13971;196;58;47;181;413;759;1011;1595;2825;6765;121
2018;0101; Enfermedades infecciosas intestinales;2;547;36;14;3;7;4;10;18;42;99;311;3
2018;0102;Tuberculosis inclusive secuelas;2;633;0;1;5;31;59;75;70;124;137;122;9
2018;0103;Tetanos;2;2;0;0;0;0;0;1;0;0;1;0;0
2018;0104;Septicemias;2;10354;90;34;31;72;93;218;424;1062;2281;5955;94
2018;0105;Infección meningocócica;2;15;3;2;2;0;1;2;1;0;1;3;0
2018;0106;Meningitis viral;2;3;0;0;0;0;1;0;0;0;1;1;0
2018;0110;Hepatitis viral;2;156;0;0;0;2;2;7;35;43;33;33;1
2018;0111;Enf.por virus de la inmunodeficiencia humana;2;1339;2;2;1;56;219;392;367;174;94;23;9
2018;0112;Tripanosomiasis (Enfermedad de Chagas);2;390;0;0;0;1;3;9;33;87;101;156;0
2018;0113;Las demás enf. infecciosas y parasitarias ;2;532;65;5;5;12;31;45;63;63;77;161;5
2018;0199;2. Tumores;2;63873;29;124;264;446;977;2546;5392;12250;18043;23535;267
2018;0200;Tumores Malignos;1;61079;14;105;234;414;928;2429;5182;11773;17334;22411;255
2018;0201; T M  Esófago;2;1697;0;0;0;0;5;20;116;358;510;682;6
2018;0202; T M  Estómago;2;2940;0;0;0;9;42;111;242;610;893;1022;11
2018;0203; T M  Colon, recto,  de la porción rectosigmoidea y ano;2;7349;0;1;0;14;76;231;584;1295;2002;3115;31
2018;0204; T M  Hígado y de las vías biliares intrahepática;2;1903;1;2;6;2;17;26;170;361;628;679;11
2018;0205; T M  Vesícula biliar y otras partes de las vías biliares;2;1255;0;0;0;2;6;36;111;268;372;455;5
2018;0206; T M  Páncreas;2;4472;0;0;1;5;15;85;312;849;1418;1772;15
2018;0207; T M  Tráquea, de los bronquios y del pulmón;2;9273;0;0;2;8;27;160;633;2259;3289;2860;35
2018;0208; T M  Mama;2;5838;0;0;0;3;92;439;746;1133;1390;2019;16
2018;0209; T M  Útero;2;2926;0;0;0;18;177;436;474;577;593;640;11
2018;0210; T M  Ovario;2;1199;0;0;1;3;23;73;157;268;344;322;8
2018;0211; T M  Próstata;2;3750;0;0;0;2;5;9;43;287;1049;2340;15
2018;0212; T M  Riñón y otros órganos urinarios, excepto vejiga;2;2113;0;3;5;5;13;62;208;512;621;679;5
2018;0213; T M  Vejiga urinaria;2;1322;0;0;0;1;1;8;52;188;388;679;5
2018;0214; T M  Encéfalo y o/partes del sistema nervioso central ;2;1280;7;20;45;34;61;101;163;271;295;278;5
2018;0215; T M  Linfoma no Hodgkin;2;1334;0;6;11;24;54;80;138;247;355;415;4
2018;0216; T M  Leucemias;2;1797;3;41;96;105;96;114;140;233;362;599;8
2018;0217; T M  Tumor maligno de sitios no especificados ;2;4009;1;1;11;29;41;118;309;719;1101;1655;24
2018;0218; T M  Los demás tumores malignos ;2;6622;2;31;56;150;177;320;584;1338;1724;2200;40
2018;0299;Carcinoma en situ, tumores benignos y de comportamiento incierto o desconocido;2;2794;15;19;30;32;49;117;210;477;709;1124;12
